,Investigation Type,Event Date,Location,Country,Airport Name,Injury Severity,Aircraft Damage,Make,Model,Amateur Built,Number Of Engines,Engine Type,Purpose Of Flight,Total Fatal Injuries,Total Serious Injuries,Total Minor Injuries,Total Uninjured,Weather Condition,Broad Phase Of Flight,Total Passengers,Make-Model
1080,Accident,1982-05-04,"GLENWOOD, AR",United States,Unknown,Fatal,Substantial,Cessna,188B,No,1.0,Reciprocating,Ferry,0.0,1.0,0.0,0.0,VMC,Cruise,1.0,Cessna 188B
1082,Accident,1982-05-04,"LOVELL, WY",United States,NORTH BIG HORN COUNTY,Fatal,Substantial,Cessna,182M,No,1.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Taxi,2.0,Cessna 182M
1083,Accident,1982-05-04,"HOUSTON, TX",United States,Unknown,Fatal,Substantial,Grumman,G-164B,No,1.0,Turbo Prop,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,Grumman G-164B
1089,Accident,1982-05-05,"FRANKLINTON, LA",United States,Unknown,Fatal,Substantial,Cessna,207,No,1.0,Reciprocating,Business,1.0,1.0,0.0,0.0,VMC,Maneuvering,2.0,Cessna 207
1090,Accident,1982-05-05,"CISSNO PARK, IL",United States,HARRY YERGLER,Fatal,Substantial,Cessna,172A,No,1.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,Cessna 172A
1094,Accident,1982-05-06,"WALLA WALLA, WA",United States,WALLA WALLA CITY COUNTY,Fatal,Substantial,Cessna,182P,No,1.0,Reciprocating,Business,0.0,0.0,1.0,1.0,VMC,Descent,2.0,Cessna 182P
1098,Accident,1982-05-06,"FRONT ROYAL, VA",United States,FRONT ROYAL-WARREN CO,Fatal,Substantial,Piper,PA-28R-180,No,1.0,Reciprocating,Business,0.0,1.0,1.0,0.0,VMC,Cruise,2.0,Piper PA-28R-180
1099,Accident,1982-05-06,"BISMARCK, ND",United States,BISMARCK MUNICIPAL,Fatal,Substantial,Cessna,402A,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,8.0,VMC,Landing,8.0,Cessna 402A
1109,Accident,1982-05-07,"NORTH LOUP, NE",United States,FOX,Fatal,Substantial,Piper,PA-18,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,Piper PA-18
1127,Accident,1982-05-08,"WELSH, LA",United States,Unknown,Fatal,Substantial,Grumman,G164A,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,1.0,Grumman G164A
